epoch,Train_loss,Test_loss
1,0.11866253614425659,0.13354849815368652
2,0.1467944234609604,0.09776820987462997
3,0.11162716150283813,0.11677537858486176
4,0.08347244560718536,0.08922428637742996
5,0.08258698880672455,0.11304979771375656
6,0.1139761358499527,0.07024786621332169
7,0.08361624926328659,0.07827802747488022
8,0.08549327403306961,0.06525619328022003
9,0.0986316055059433,0.08290570974349976
10,0.10234704613685608,0.07763595134019852
11,0.09121875464916229,0.07416485249996185
12,0.05560869723558426,0.09222227334976196
13,0.06770512461662292,0.05808719992637634
14,0.06430372595787048,0.05004020035266876
15,0.06839270144701004,0.06853415071964264
16,0.11046229302883148,0.06733020395040512
17,0.05893370509147644,0.061447374522686005
18,0.07141341269016266,0.06732907146215439
19,0.07035691291093826,0.08082158863544464
20,0.05561549589037895,0.06904899328947067
